best_match_score,__id_left,__id_right,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,short_name,long_name,club_name,league_name,pace,shooting,passing,dribbling,defending,physic,player_positions
-0.3296687836553764,1959_left,813_right,965,Santiago Cazorla,35,2472,11,8.852402666583659,9,7.984714280813932,49,71,3,0,M S,Villarreal,3,2.9061816278845067,20.045002609491352,13.102957334369421,Santi Mina,Santiago Mina Lorenzo,RC Celta,Spain Primera Division,76.0,74.0,69.0,76.0,53.0,71.0,"ST, RW"
0.25189751335600197,1960_left,448_right,1700,Lucas Pérez,34,2519,11,9.509707057848573,5,6.6745787132531404,48,63,4,0,F S,Alaves,6,5.793704388663173,11.495881766080856,3.727855239994824,Lucas Pérez,Lucas Pérez Martínez,Deportivo Alavés,Spain Primera Division,77.0,82.0,75.0,78.0,32.0,69.0,ST
0.05061063115624242,1961_left,772_right,2070,Carlos Fernández,34,2165,11,9.81347555015236,3,2.9137006970122457,47,20,8,0,F M S,Granada,10,9.07019788119942,13.351630609482527,2.6936471126973633,Carlos Fernández,Carlos Fernández Luna,Sevilla FC,Spain Primera Division,69.0,78.0,63.0,77.0,27.0,71.0,"ST, CAM"
0.6085030688354155,1962_left,10_right,2246,Sergio Ramos,35,3025,11,10.652958670631053,0,0.5280062342062593,39,5,10,0,D,Real Madrid,5,6.193420918658376,13.22568603977561,10.925066517665982,Sergio Ramos,Sergio Ramos García,Real Madrid,Spain Primera Division,71.0,70.0,76.0,73.0,88.0,85.0,CB
0.721213584239523,1963_left,337_right,2361,Willian José,37,2031,11,11.714213017374275,1,1.642551040276885,59,19,4,0,F S,Real Sociedad,11,11.714213017374275,12.541560910642149,1.567418521270156,Willian José,Willian José da Silva,Real Sociedad,Spain Primera Division,67.0,80.0,67.0,74.0,40.0,82.0,ST
0.18081932070663845,1964_left,748_right,2566,Roger,36,2291,11,10.069969104602931,1,2.7547078989446163,57,25,4,1,F S,Levante,7,7.097115030512214,11.975530987605453,3.126762688159942,Roger,Roger Martí Salvador,Levante UD,Spain Primera Division,77.0,80.0,61.0,75.0,41.0,71.0,ST
0.4977762276105231,1965_left,467_right,7009,Jaime Mata,34,2792,11,11.404724339023232,3,3.577842734754085,56,29,14,0,F S,Getafe,8,8.432259017601611,13.855682404711844,4.461362952366472,Mata,Jaime Mata Arnaiz,Getafe CF,Spain Primera Division,69.0,80.0,61.0,76.0,31.0,76.0,ST
0.6517515489820559,1966_left,86_right,2234,Mikel Oyarzabal,37,3086,10,8.03832505363971,11,8.172673314809801,62,51,4,0,F M S,Real Sociedad,6,5.065470359288156,16.71887893974781,6.107305211946367,Oyarzabal,Mikel Oyarzabal Ugarte,Real Sociedad,Spain Primera Division,81.0,82.0,80.0,84.0,41.0,63.0,"LW, RW"
0.11882171904782537,1967_left,2615_right,4136,Ángel,32,1352,10,8.195408998057246,3,2.5126116881147027,53,18,6,0,F S,Getafe,9,7.452131388708949,9.774861531332137,3.3229368664324284,Algobia,Ángel Algobia Esteves,Getafe CF,Spain Primera Division,45.0,55.0,58.0,61.0,54.0,46.0,CM
0.02836930906605106,1968_left,281_right,6124,Maxi Gómez,33,2168,10,6.880587128922343,2,3.2487852983176713,41,14,5,0,F S,Valencia,10,6.137309504672885,9.626858914270995,2.038298759609461,M. Gómez,Maximiliano Gómez González,Valencia CF,Spain Primera Division,68.0,81.0,68.0,73.0,32.0,82.0,ST
